item,sentence,condition,QuestYN,question,correctans
1,איזה תמונה של_עצמו מהחופשה המזכירה החדשה שלחה לעורך_דין במייל?,NP_anaphor_mismatch,Y,המזכירה ותיקה,F
2,איזה פֶּסֶל של_עצמו בחליפה המעריצה המשוגעת נתנה לשחקן במתנה?,NP_anaphor_mismatch,Y,הפֶּסֶל ניתן במתנה,J
3,איזה דיוקן של_עצמו בשמן התורמת הראשית הבטיחה למיליונר במסיבה?,NP_anaphor_mismatch,N,,
4,איזה ציור של_עצמה על_קנבס הצייר הקמצן מכר ללקוחה ביוקר?,NP_anaphor_mismatch,Y,הציור הוא על קנבס,J
5,איזה סרטון של_עצמה שיכורה העיתונאי הנאלח קנה מהסלבריטאית אתמול?,NP_anaphor_mismatch,Y,העיתונאי קנה סרטון,J
6,איזה הקלטה של_עצמה באייפון הדוד המודאג העביר לנערה מיד?,NP_anaphor_mismatch,N,,
7,איזה תמונה של_עצמה מהמשחק הכדורסלנית הגבוהה פרסמה בפייסבוק?,NP_anaphor_match,Y,הכדורסלנית מחקה תמונה מהפייסבוק,F
8,איזה פֶּסֶל של_עצמה מברונזה השגרירה המכובדת אהבה במיוחד?,NP_anaphor_match,Y,הפֶּסֶל עשוי זהב,F
9,איזה דיוקן של_עצמה מהחתונה הכלה המרוגשת מסגרה אצל_מסגר?,NP_anaphor_match,N,,
10,איזה ציור של_עצמו בטושים הרופא הנחמד תלה במרפאה?,NP_anaphor_match,Y,הרופא תלה ציור,J
11,איזה סרטון של_עצמו מדבר הפרופסור הזקן העלה ליוטיוב?,NP_anaphor_match,N,,
12,איזה הקלטה של_עצמו מהתקרית הנאשם המפוחד השמיע לעורך_הדין?,NP_anaphor_match,N,,
13,מתי המורה הצעירה ראתה את_החתול הג׳ינגי רץ בחצר?,adjunct_SC,N,,
14,באיזו הופעה המלהקת הראשית שמעה את_המוזיקאית המוכשרת מנגנת?,adjunct_SC,Y,המלהקת ניגנה בהופעה,F
15,מתי המאבטח המבוגר מצא את_הילד השובב נכנס למזרקה?,adjunct_SC,Y,המאבטח נכנס למזרקה,F
16,באיזו תכנית הסטייליסטית הנחמדה צילמה את_הקריינית הצעירה מתאפרת בחדר?,adjunct_SC,N,,
17,איפה האמן המסתורי צייר את_האיש המפורסם מעשן על_ספה?,adjunct_SC,N,,
18,באיזו שעה השופטת החדה שמעה את_המשתתפת בתחרות מתאמנת מראש?,adjunct_SC,Y,המשתתפת התאמנה מראש,J
19,באיזה יום האדריכל המוכשר שלח הצעת_מחיר ללקוח הקבוע?,Adjunct_NP_PP,Y,הלקוח שלח הצעת מחיר,F
20,למה האופה הבלונדינית הביאה שוקולד מהחנות האהובה עליה?,Adjunct_NP_PP,Y,השוקולד הוא מהחנות,J
21,באיזה חדר הנער העצבני זרק את_הבגדים המלוכלכים בפינת הארון?,Adjunct_NP_PP,N,,
22,מתי הסטודנט השאפתן שלח קורות_חיים לכל הפרופסוריות במחלקה?,Adjunct_NP_PP,N,,
23,באיזה עיר התיירת המתלהבת קנתה צמידים מפסטיבל מוזיקה אלקטרונית?,Adjunct_NP_PP,N,,
24,למה הילדה הקטנה החביאה סוכרייה מתחת לכרית?,Adjunct_NP_PP,Y,הילדה אכלה סוכריה,F
25,באיזו תחרות הספורטאית השרירית תפסה את_השופט מעוות את_התוצאות?,Adjunct_NP,Y,הספורטאית חלשה,F
26,באיזה מבחן הבוחנת הזקנה שמעה את_התלמיד מדבר עם_חברו?,Adjunct_NP,N,,
27,איפה ההיסטוריון המוערך האזין לסטודנטית מדברת על_המאמר?,Adjunct_NP,Y,ההיסטוריון הקריא מאמר,F
28,מתי הגננת המסורה ראתה את_הילד קוטף פרחים בגינה?,Adjunct_NP,Y,הילד קטף פרחים,J
29,מתי הבמאי הצרפתי צילם את_השחקניות מתאפרות מאחורי הקלעים?,Adjunct_NP,N,,
30,באיזה לילה הפוליטיקאי הכושל דמיין את_עצמו זוכה בבחירות?,Adjunct_NP,N,,
31,מאיזו יצירת אמנות המטופל הביישן פתאום התרשם?,ana_PP,Y,המטופל התלהב מיצירת האמנות,J
32,על_איזו תכונת אופי המרואיינת דיברה בחוסר בטחון?,ana_PP,Y,המרואיינת דיברה בראוותנות,F
33,לאיזה סרטון משפחתי הילד השובב הוסיף אפקטים?,ana_PP,Y,לסרטון הוספו אפקטים,J
34,לאיזה ציור מינימליסטי האמנית החדשנית נתנה שם מוזר?,ana_PP,N,,
35,באיזה פֶּסֶל מחתרתי המלך האירופאי ראה עלבון?,ana_PP,Y,המלך נעלב מהפֶּסֶל,J
36,באיזו עבודת סיום המדריכה הפרפקציוניסטית מצאה פגם?,ana_PP,Y,המדריכה רשלנית,F
